ExistingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,CurrentEmplymentStatus,InstallmentRate,PersonalStatusAndSex,OtherGuarantors,DurationInCurrentResidence,Property,Age,OtherInstallment,Housing,ExistingCredits,Job,PeopleLiable,Telephone,ForeignWorker,Sex,Marital_Status,ClassificationStatus
Below 200 DM,36,existing credits paid back duly till now ,Radio/TV,4795,Below 100 DM,<1 Year,4,"Female, Divorced",None,1,None,30,None,Own,1,Executive,1,yes,yes,Female,Divorced,1
None,27,existing credits paid back duly till now ,Radio/TV,3416,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,2,Car,27,None,Own,1,Executive,1,no,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Furniture,2462,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,22,None,Own,1,Skilled,1,no,yes,Male,Single,0
No Account,21,critical account/ other credits existing (not at this bank),Furniture,2288,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Life Insurance,23,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,48,all credits at this bank paid back duly ,Business,3566,"[100, 500) DM","[4, 7) Years",4,"Male, Single",None,2,Car,30,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,6,critical account/ other credits existing (not at this bank),Car (New),860,Below 100 DM,Above 7 Years,1,"Female, Divorced",None,4,None,39,None,Own,2,Skilled,1,yes,yes,Female,Divorced,1
No Account,12,critical account/ other credits existing (not at this bank),Car (New),682,"[100, 500) DM","[4, 7) Years",4,"Female, Divorced",None,3,Car,51,None,Own,2,Skilled,1,yes,yes,Female,Divorced,1
None,36,critical account/ other credits existing (not at this bank),Furniture,5371,Below 100 DM,"[1, 4) Years",3,"Male, Single",Guarantor,2,Life Insurance,28,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Radio/TV,1582,Above 1000 DM,Above 7 Years,4,"Male, Single",None,4,Car,46,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,6,existing credits paid back duly till now ,Radio/TV,1346,"[100, 500) DM",Above 7 Years,2,"Male, Single",None,4,None,42,Bank,Free,1,Skilled,2,yes,yes,Male,Single,1
No Account,10,existing credits paid back duly till now ,Radio/TV,1924,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,4,Life Insurance,38,None,Own,1,Skilled,1,yes,no,Male,Single,1
Above 200 DM,36,existing credits paid back duly till now ,Radio/TV,5848,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,1,Car,24,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,24,critical account/ other credits existing (not at this bank),Car (Used),7758,Above 1000 DM,Above 7 Years,2,"Female, Divorced",None,4,None,29,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,24,delay in paying off in the past ,Business,6967,"[100, 500) DM","[4, 7) Years",4,"Male, Single",None,4,Car,36,None,Rent,1,Executive,1,yes,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Furniture,1282,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,4,Car,20,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
None,9,critical account/ other credits existing (not at this bank),Repairs,1288,"[100, 500) DM",Above 7 Years,3,"Male, Single",Guarantor,4,Real Estate,48,None,Own,2,Skilled,2,no,no,Male,Single,1
None,12,all credits at this bank paid back duly ,Retraining,339,Below 100 DM,Above 7 Years,4,"Male, Married/Widowed",None,1,Car,45,Bank,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
Below 200 DM,24,existing credits paid back duly till now ,Car (New),3512,"[100, 500) DM","[4, 7) Years",2,"Male, Single",None,3,Car,38,Bank,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,6,critical account/ other credits existing (not at this bank),Radio/TV,1898,None,"[1, 4) Years",1,"Male, Single",None,2,Real Estate,34,None,Own,2,Unskilled Resident,2,no,yes,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Radio/TV,2872,"[100, 500) DM",Above 7 Years,3,"Male, Single",None,4,Real Estate,36,None,Own,1,Skilled,2,yes,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Car (New),1055,Below 100 DM,<1 Year,4,"Female, Divorced",None,1,Life Insurance,30,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
No Account,15,existing credits paid back duly till now ,Appliances,1262,"[500, 1000) DM","[4, 7) Years",4,"Male, Single",None,3,Life Insurance,36,None,Own,2,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,10,existing credits paid back duly till now ,Car (New),7308,Below 100 DM,Unemployed,2,"Male, Single",None,4,None,70,Bank,Free,1,Executive,1,yes,yes,Male,Single,1
No Account,36,existing credits paid back duly till now ,Car (New),909,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,4,Life Insurance,36,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,6,existing credits paid back duly till now ,Furniture,2978,"[500, 1000) DM","[1, 4) Years",1,"Male, Single",None,2,Car,32,None,Own,1,Skilled,1,yes,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Furniture,1131,Below 100 DM,Unemployed,4,"Female, Divorced",None,2,Car,33,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,11,existing credits paid back duly till now ,Furniture,1577,Above 1000 DM,<1 Year,4,"Female, Divorced",None,1,Real Estate,20,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,24,existing credits paid back duly till now ,Furniture,3972,Below 100 DM,"[4, 7) Years",2,"Female, Divorced",None,4,Life Insurance,25,None,Rent,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,24,critical account/ other credits existing (not at this bank),Business,1935,Below 100 DM,Above 7 Years,4,"Male, Divorced",None,4,Real Estate,31,None,Own,2,Skilled,1,yes,yes,Male,Divorced,0
None,15,no credits taken/ all credits paid back duly ,Car (New),950,Below 100 DM,Above 7 Years,4,"Male, Single",None,3,Car,33,None,Rent,2,Skilled,2,no,yes,Male,Single,0
No Account,12,existing credits paid back duly till now ,Furniture,763,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,1,Real Estate,26,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,24,delay in paying off in the past ,Furniture,2064,Below 100 DM,Unemployed,3,"Female, Divorced",None,2,Life Insurance,34,None,Own,1,Executive,1,yes,yes,Female,Divorced,0
Below 200 DM,8,existing credits paid back duly till now ,Radio/TV,1414,Below 100 DM,"[1, 4) Years",4,"Male, Single",Guarantor,2,Real Estate,33,None,Own,1,Skilled,1,no,no,Male,Single,1
None,21,delay in paying off in the past ,Education,3414,Below 100 DM,<1 Year,2,"Male, Single",None,1,Life Insurance,26,None,Own,2,Skilled,1,no,yes,Male,Single,0
No Account,30,all credits at this bank paid back duly ,Car (Used),7485,None,Unemployed,4,"Female, Divorced",None,1,Real Estate,53,Bank,Own,1,Executive,1,yes,yes,Female,Divorced,0
None,12,existing credits paid back duly till now ,Furniture,2577,Below 100 DM,"[1, 4) Years",2,"Male, Divorced",None,1,Car,42,None,Own,1,Skilled,1,no,yes,Male,Divorced,1
None,6,critical account/ other credits existing (not at this bank),Radio/TV,338,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,4,Car,52,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Radio/TV,1963,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,2,Car,31,None,Rent,2,Executive,2,yes,yes,Male,Single,1
None,21,critical account/ other credits existing (not at this bank),Car (New),571,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,65,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,36,delay in paying off in the past ,Business,9572,Below 100 DM,<1 Year,1,"Male, Divorced",None,1,Car,28,None,Own,2,Skilled,1,no,yes,Male,Divorced,0
Below 200 DM,36,delay in paying off in the past ,Business,4455,Below 100 DM,"[1, 4) Years",2,"Male, Divorced",None,2,Real Estate,30,Stores,Own,2,Executive,1,yes,yes,Male,Divorced,0
None,21,all credits at this bank paid back duly ,Car (New),1647,None,"[1, 4) Years",4,"Male, Single",None,2,Life Insurance,40,None,Own,2,Unskilled Resident,2,no,yes,Male,Single,0
No Account,24,critical account/ other credits existing (not at this bank),Furniture,3777,Above 1000 DM,"[1, 4) Years",4,"Male, Single",None,4,Real Estate,50,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,18,critical account/ other credits existing (not at this bank),Car (New),884,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,36,Bank,Own,1,Skilled,2,yes,yes,Male,Single,0
No Account,15,critical account/ other credits existing (not at this bank),Radio/TV,1360,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Life Insurance,31,None,Own,2,Skilled,1,no,yes,Male,Single,1
Below 200 DM,9,all credits at this bank paid back duly ,Car (Used),5129,Below 100 DM,Above 7 Years,2,"Female, Divorced",None,4,None,74,Bank,Free,1,Executive,2,yes,yes,Female,Divorced,0
Below 200 DM,16,critical account/ other credits existing (not at this bank),Car (New),1175,Below 100 DM,Unemployed,2,"Male, Single",None,3,Car,68,None,Free,3,"Unemployed, Unskilled",1,yes,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Radio/TV,674,"[100, 500) DM","[4, 7) Years",4,"Male, Married/Widowed",None,1,Life Insurance,20,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,0
Below 200 DM,18,no credits taken/ all credits paid back duly ,Furniture,3244,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",None,4,Car,33,Bank,Own,2,Skilled,1,yes,yes,Female,Divorced,1
No Account,24,existing credits paid back duly till now ,Business,4591,Above 1000 DM,"[1, 4) Years",2,"Male, Single",None,3,Life Insurance,54,None,Own,3,Executive,1,yes,yes,Male,Single,0
Below 200 DM,48,no credits taken/ all credits paid back duly ,Business,3844,"[100, 500) DM","[4, 7) Years",4,"Male, Single",None,4,None,34,None,Free,1,Unskilled Resident,2,no,yes,Male,Single,0
Below 200 DM,27,existing credits paid back duly till now ,Business,3915,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Car,36,None,Own,1,Skilled,2,yes,yes,Male,Single,0
No Account,6,existing credits paid back duly till now ,Radio/TV,2108,Below 100 DM,"[4, 7) Years",2,"Male, Married/Widowed",None,2,Real Estate,29,None,Rent,1,Skilled,1,no,yes,Male,Married/Widowed,1
Below 200 DM,45,existing credits paid back duly till now ,Radio/TV,3031,"[100, 500) DM","[1, 4) Years",4,"Male, Single",Guarantor,4,Life Insurance,21,None,Rent,1,Skilled,1,no,yes,Male,Single,0
Below 200 DM,9,critical account/ other credits existing (not at this bank),Education,1501,Below 100 DM,Above 7 Years,2,"Female, Divorced",None,3,Car,34,None,Own,2,Executive,1,yes,yes,Female,Divorced,0
No Account,6,critical account/ other credits existing (not at this bank),Radio/TV,1382,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",None,1,Car,28,None,Own,2,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,12,existing credits paid back duly till now ,Furniture,951,"[100, 500) DM",<1 Year,4,"Female, Divorced",None,4,Car,27,Bank,Rent,4,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,24,existing credits paid back duly till now ,Car (Used),2760,None,Above 7 Years,4,"Male, Single",None,4,None,36,Bank,Free,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,18,delay in paying off in the past ,Furniture,4297,Below 100 DM,Above 7 Years,4,"Male, Divorced",None,3,None,40,None,Own,1,Executive,1,yes,yes,Male,Divorced,0
No Account,9,critical account/ other credits existing (not at this bank),Education,936,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,2,Car,52,None,Own,2,Skilled,1,yes,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Car (New),1168,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,3,Real Estate,27,None,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
No Account,27,delay in paying off in the past ,Business,5117,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,4,Car,26,None,Own,2,Skilled,1,no,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Retraining,902,Below 100 DM,"[4, 7) Years",4,"Male, Married/Widowed",None,4,Life Insurance,21,None,Rent,1,Skilled,1,no,yes,Male,Married/Widowed,0
No Account,12,critical account/ other credits existing (not at this bank),Car (New),1495,Below 100 DM,Above 7 Years,4,"Male, Single",None,1,Real Estate,38,None,Own,2,Unskilled Resident,2,no,yes,Male,Single,1
None,30,critical account/ other credits existing (not at this bank),Car (Used),10623,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,None,38,None,Free,3,Executive,2,yes,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Furniture,1935,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,43,None,Own,3,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,12,critical account/ other credits existing (not at this bank),Appliances,1424,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,3,Life Insurance,26,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Business,6568,Below 100 DM,"[1, 4) Years",2,"Male, Married/Widowed",None,2,Car,21,Stores,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
No Account,12,existing credits paid back duly till now ,Car (Used),1413,Above 1000 DM,"[4, 7) Years",3,"Male, Single",None,2,Life Insurance,55,None,Own,1,Skilled,1,no,no,Male,Single,1
No Account,9,critical account/ other credits existing (not at this bank),Radio/TV,3074,None,"[1, 4) Years",1,"Male, Single",None,2,Real Estate,33,None,Own,2,Skilled,2,no,yes,Male,Single,1
No Account,36,existing credits paid back duly till now ,Radio/TV,3835,None,Above 7 Years,2,"Female, Divorced",None,4,Real Estate,45,None,Own,1,Unskilled Resident,1,yes,yes,Female,Divorced,1
None,27,no credits taken/ all credits paid back duly ,Business,5293,Below 100 DM,Unemployed,2,"Male, Single",None,4,Life Insurance,50,Stores,Own,2,Skilled,1,yes,yes,Male,Single,0
Above 200 DM,30,delay in paying off in the past ,Business,1908,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,66,None,Own,1,Executive,1,yes,yes,Male,Single,0
No Account,36,critical account/ other credits existing (not at this bank),Radio/TV,3342,None,Above 7 Years,4,"Male, Single",None,2,Car,51,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,6,critical account/ other credits existing (not at this bank),Retraining,932,None,"[4, 7) Years",1,"Female, Divorced",None,3,Life Insurance,39,None,Own,2,Unskilled Resident,1,no,yes,Female,Divorced,1
None,18,no credits taken/ all credits paid back duly ,Business,3104,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,1,Life Insurance,31,Bank,Own,1,Skilled,1,yes,yes,Male,Single,1
Above 200 DM,36,existing credits paid back duly till now ,Radio/TV,3913,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Real Estate,23,None,Own,1,Skilled,1,yes,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Furniture,3021,Below 100 DM,"[1, 4) Years",2,"Male, Divorced",None,2,Real Estate,24,None,Rent,1,Unskilled Resident,1,no,yes,Male,Divorced,1
No Account,10,existing credits paid back duly till now ,Car (New),1364,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,4,Car,64,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,625,Below 100 DM,<1 Year,4,"Male, Married/Widowed",Guarantor,1,Real Estate,26,Bank,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
None,12,existing credits paid back duly till now ,Education,1200,None,"[1, 4) Years",4,"Female, Divorced",None,4,Life Insurance,23,Bank,Rent,1,Skilled,1,yes,yes,Female,Divorced,1
No Account,12,existing credits paid back duly till now ,Radio/TV,707,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Real Estate,30,Bank,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,24,delay in paying off in the past ,Business,2978,None,"[1, 4) Years",4,"Male, Single",None,4,Real Estate,32,None,Own,2,Skilled,2,yes,yes,Male,Single,1
No Account,15,existing credits paid back duly till now ,Car (Used),4657,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,2,Car,30,None,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,36,no credits taken/ all credits paid back duly ,Repairs,2613,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Car,27,None,Own,2,Skilled,1,no,yes,Male,Single,1
Below 200 DM,48,existing credits paid back duly till now ,Radio/TV,10961,Above 1000 DM,"[4, 7) Years",1,"Male, Single",Co-Applicant,2,None,27,Bank,Own,2,Skilled,1,yes,yes,Male,Single,0
None,12,existing credits paid back duly till now ,Furniture,7865,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,53,None,Free,1,Executive,1,yes,yes,Male,Single,0
No Account,9,existing credits paid back duly till now ,Radio/TV,1478,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,2,Car,22,None,Own,1,Skilled,1,no,yes,Male,Single,0
None,24,existing credits paid back duly till now ,Furniture,3149,Below 100 DM,<1 Year,4,"Male, Single",None,1,None,22,Bank,Free,1,Skilled,1,no,yes,Male,Single,1
Above 200 DM,36,existing credits paid back duly till now ,Radio/TV,4210,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Car,26,None,Own,1,Skilled,1,no,yes,Male,Single,0
No Account,9,existing credits paid back duly till now ,Car (New),2507,"[500, 1000) DM",Above 7 Years,2,"Male, Single",None,4,None,51,None,Free,1,Unskilled Resident,1,no,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Radio/TV,2141,"[100, 500) DM","[4, 7) Years",3,"Male, Single",None,1,None,35,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,18,existing credits paid back duly till now ,Radio/TV,866,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",Guarantor,2,Real Estate,25,None,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
No Account,4,critical account/ other credits existing (not at this bank),Radio/TV,1544,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,1,Real Estate,42,None,Own,3,Unskilled Resident,2,no,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Radio/TV,1823,Below 100 DM,Unemployed,4,"Male, Single",None,2,Car,30,Stores,Own,1,Executive,2,no,yes,Male,Single,0
Below 200 DM,6,existing credits paid back duly till now ,Car (New),14555,None,Unemployed,1,"Male, Single",None,2,Life Insurance,23,None,Own,1,"Unemployed, Unskilled",1,yes,yes,Male,Single,0
Below 200 DM,21,existing credits paid back duly till now ,Business,2767,"[100, 500) DM",Above 7 Years,4,"Male, Divorced",None,2,Car,61,Bank,Rent,2,Unskilled Resident,1,no,yes,Male,Divorced,0
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,1291,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,2,Life Insurance,35,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
